
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:20000        LAPTOP-37OJC1P6:53823  ESTABLISHED     5588
  TCP    127.0.0.1:49670        LAPTOP-37OJC1P6:49671  ESTABLISHED     5588
  TCP    127.0.0.1:49671        LAPTOP-37OJC1P6:49670  ESTABLISHED     5588
  TCP    127.0.0.1:53821        LAPTOP-37OJC1P6:53822  ESTABLISHED     14260
  TCP    127.0.0.1:53822        LAPTOP-37OJC1P6:53821  ESTABLISHED     14260
  TCP    127.0.0.1:53823        LAPTOP-37OJC1P6:20000  ESTABLISHED     14260
  TCP    127.0.0.1:53824        LAPTOP-37OJC1P6:59110  ESTABLISHED     20300
  TCP    127.0.0.1:55878        LAPTOP-37OJC1P6:55879  ESTABLISHED     17220
  TCP    127.0.0.1:55879        LAPTOP-37OJC1P6:55878  ESTABLISHED     17220
  TCP    127.0.0.1:55964        LAPTOP-37OJC1P6:55965  ESTABLISHED     3804
  TCP    127.0.0.1:55965        LAPTOP-37OJC1P6:55964  ESTABLISHED     3804
  TCP    127.0.0.1:55978        LAPTOP-37OJC1P6:55979  ESTABLISHED     5364
  TCP    127.0.0.1:55979        LAPTOP-37OJC1P6:55978  ESTABLISHED     5364
  TCP    127.0.0.1:57944        LAPTOP-37OJC1P6:57945  ESTABLISHED     23436
  TCP    127.0.0.1:57945        LAPTOP-37OJC1P6:57944  ESTABLISHED     23436
  TCP    127.0.0.1:57948        LAPTOP-37OJC1P6:57949  ESTABLISHED     21704
  TCP    127.0.0.1:57949        LAPTOP-37OJC1P6:57948  ESTABLISHED     21704
  TCP    127.0.0.1:57966        LAPTOP-37OJC1P6:57967  ESTABLISHED     21308
  TCP    127.0.0.1:57967        LAPTOP-37OJC1P6:57966  ESTABLISHED     21308
  TCP    127.0.0.1:57985        LAPTOP-37OJC1P6:57986  ESTABLISHED     9908
  TCP    127.0.0.1:57986        LAPTOP-37OJC1P6:57985  ESTABLISHED     9908
  TCP    127.0.0.1:58013        LAPTOP-37OJC1P6:58014  ESTABLISHED     16716
  TCP    127.0.0.1:58014        LAPTOP-37OJC1P6:58013  ESTABLISHED     16716
  TCP    127.0.0.1:59083        LAPTOP-37OJC1P6:65001  ESTABLISHED     4536
  TCP    127.0.0.1:59110        LAPTOP-37OJC1P6:53824  ESTABLISHED     12668
  TCP    127.0.0.1:59505        LAPTOP-37OJC1P6:59506  ESTABLISHED     18344
  TCP    127.0.0.1:59506        LAPTOP-37OJC1P6:59505  ESTABLISHED     18344
  TCP    127.0.0.1:59507        LAPTOP-37OJC1P6:59508  ESTABLISHED     17896
  TCP    127.0.0.1:59508        LAPTOP-37OJC1P6:59507  ESTABLISHED     17896
  TCP    127.0.0.1:59512        LAPTOP-37OJC1P6:59513  ESTABLISHED     6680
  TCP    127.0.0.1:59513        LAPTOP-37OJC1P6:59512  ESTABLISHED     6680
  TCP    127.0.0.1:59524        LAPTOP-37OJC1P6:59525  ESTABLISHED     16912
  TCP    127.0.0.1:59525        LAPTOP-37OJC1P6:59524  ESTABLISHED     16912
  TCP    127.0.0.1:65001        LAPTOP-37OJC1P6:59083  ESTABLISHED     4536
  TCP    192.168.0.3:57392      104.18.3.89:https      ESTABLISHED     18344
  TCP    192.168.0.3:57680      162.159.136.234:https  ESTABLISHED     3736
  TCP    192.168.0.3:57850      ec2-52-40-145-244:https  ESTABLISHED     18344
  TCP    192.168.0.3:57856      47:https               ESTABLISHED     3736
  TCP    192.168.0.3:58291      52.139.250.253:https   ESTABLISHED     4552
  TCP    192.168.0.3:58349      40.126.35.128:https    TIME_WAIT       0
  TCP    192.168.0.3:58350      40.126.35.128:https    TIME_WAIT       0
  TCP    192.168.0.3:58361      a-0001:https           ESTABLISHED     15364
  TCP    192.168.0.3:58362      a-0001:https           ESTABLISHED     15364
  TCP    192.168.0.3:58363      13.107.18.11:https     ESTABLISHED     15364
  TCP    192.168.0.3:58364      13.107.18.11:https     ESTABLISHED     15364
  TCP    192.168.0.3:58365      52.114.128.75:https    ESTABLISHED     15364
  TCP    192.168.0.3:58366      13.107.18.254:https    ESTABLISHED     15364
  TCP    192.168.0.3:58367      13.107.6.254:https     ESTABLISHED     15364
  TCP    192.168.0.3:58368      13.107.213.19:https    ESTABLISHED     15364
  TCP    192.168.0.3:58369      204.79.197.222:https   ESTABLISHED     15364
  TCP    192.168.0.3:58374      40.81.94.22:https      ESTABLISHED     18344
  TCP    192.168.0.3:58375      40.81.94.43:https      ESTABLISHED     18344
