
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,584 K
Registry                       148 Services                   0     40,268 K
smss.exe                       752 Services                   0        388 K
csrss.exe                      840 Services                   0      2,364 K
wininit.exe                    940 Services                   0      1,068 K
services.exe                  1012 Services                   0      6,776 K
lsass.exe                      508 Services                   0     16,656 K
svchost.exe                   1136 Services                   0     38,068 K
fontdrvhost.exe               1172 Services                   0        888 K
svchost.exe                   1256 Services                   0     18,756 K
svchost.exe                   1304 Services                   0      3,920 K
svchost.exe                   1500 Services                   0      1,760 K
svchost.exe                   1508 Services                   0      5,880 K
svchost.exe                   1576 Services                   0     11,012 K
svchost.exe                   1604 Services                   0      3,752 K
svchost.exe                   1636 Services                   0      2,208 K
svchost.exe                   1676 Services                   0      4,312 K
svchost.exe                   1744 Services                   0      2,232 K
svchost.exe                   1752 Services                   0      5,080 K
svchost.exe                   1768 Services                   0     11,584 K
svchost.exe                   1968 Services                   0      6,440 K
svchost.exe                    780 Services                   0     10,536 K
svchost.exe                   1900 Services                   0      4,480 K
svchost.exe                   2116 Services                   0      9,300 K
svchost.exe                   2136 Services                   0      1,260 K
svchost.exe                   2268 Services                   0      6,864 K
svchost.exe                   2416 Services                   0     20,060 K
NVDisplay.Container.exe       2512 Services                   0      6,868 K
svchost.exe                   2568 Services                   0      1,268 K
svchost.exe                   2576 Services                   0      6,348 K
svchost.exe                   2584 Services                   0      3,424 K
Memory Compression            2668 Services                   0    903,492 K
svchost.exe                   2708 Services                   0      4,456 K
igfxCUIService.exe            2732 Services                   0      2,272 K
svchost.exe                   2772 Services                   0      4,148 K
svchost.exe                   2780 Services                   0      8,700 K
svchost.exe                   2916 Services                   0     10,700 K
PresentationFontCache.exe     2824 Services                   0      2,520 K
svchost.exe                   3120 Services                   0     17,076 K
svchost.exe                   3388 Services                   0      2,952 K
svchost.exe                   3396 Services                   0      4,852 K
svchost.exe                   3404 Services                   0      8,640 K
svchost.exe                   3492 Services                   0      1,920 K
svchost.exe                   3824 Services                   0     13,556 K
svchost.exe                   3884 Services                   0      6,308 K
spoolsv.exe                   4116 Services                   0      5,748 K
svchost.exe                   4152 Services                   0     10,540 K
svchost.exe                   4244 Services                   0      2,792 K
svchost.exe                   4408 Services                   0      4,804 K
svchost.exe                   4420 Services                   0     47,960 K
svchost.exe                   4428 Services                   0     29,368 K
IntelCpHDCPSvc.exe            4436 Services                   0      1,792 K
svchost.exe                   4444 Services                   0     10,328 K
svchost.exe                   4460 Services                   0      1,080 K
ICEsoundService64.exe         4472 Services                   0      1,044 K
RegSrvc.exe                   4480 Services                   0      3,712 K
EvtEng.exe                    4496 Services                   0      6,152 K
svchost.exe                   4504 Services                   0     15,032 K
ibtsiva.exe                   4512 Services                   0      2,104 K
svchost.exe                   4520 Services                   0      3,492 K
RstMwService.exe              4528 Services                   0      1,220 K
svchost.exe                   4544 Services                   0      2,844 K
nvcontainer.exe               4536 Services                   0     17,868 K
svchost.exe                   4552 Services                   0     16,040 K
vmnat.exe                     4560 Services                   0      2,368 K
vmnetdhcp.exe                 4568 Services                   0      1,212 K
ZeroConfigService.exe         4584 Services                   0     10,472 K
svchost.exe                   4596 Services                   0      1,436 K
svchost.exe                   4728 Services                   0      2,204 K
IntelCpHeciSvc.exe            4176 Services                   0      1,800 K
Corsair.Service.exe           4760 Services                   0     33,564 K
svchost.exe                   5124 Services                   0      1,064 K
vmware-authd.exe              5224 Services                   0      4,764 K
vmware-usbarbitrator64.ex     5232 Services                   0      3,208 K
svchost.exe                   5248 Services                   0      5,700 K
TunnelBear.Maintenance.ex     5372 Services                   0      4,492 K
GWCtlSrv.exe                  5588 Services                   0     27,680 K
unsecapp.exe                  5824 Services                   0      2,952 K
WmiPrvSE.exe                  6008 Services                   0      9,128 K
vmware-hostd.exe              5456 Services                   0      7,708 K
svchost.exe                   4072 Services                   0      4,020 K
svchost.exe                   6204 Services                   0      6,496 K
dasHost.exe                   6244 Services                   0      7,544 K
WmiPrvSE.exe                  6272 Services                   0     18,816 K
